qSpecies,count,avgDBH
Macadamia tetraphylla :: Macadamia,1,2
Magnolia champaca :: Champa,23,4.304347826
Magnolia doltsopa :: Himalayan Magnolia,39,4.153846154
Magnolia grandiflora 'D.D. Blanchard' :: D.D. Blanchard Southern Magnolia,6,2.5
Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,194,3.335051546
Magnolia grandiflora 'Majestic Beauty' :: Majestic Beauty Magnolia,8,5.375
Magnolia grandiflora 'Russet' :: Russet Magnolia,27,5.555555556
Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,66,5.484848485
Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,86,3.802325581
Magnolia grandiflora :: Southern Magnolia,1377,7.382716049
Magnolia sargentiana 'Robusta' :: Robusta Magnolia,1,3
Magnolia spp :: Magnolia,14,5.571428571
Magnolia x soulangiana :: Saucer Magnolia,21,7.285714286
Malus :: Crab Apple,29,4.827586207
Malus floribunda :: Showy Crab Apple: Japanese Crabapple,29,4.620689655
Malus sylvestris :: Apple,1,6
Mangifera indica :: Mango,1,1
Maytenus boaria :: Mayten,766,8.577023499
Melaleuca ericifolia :: Heath Melaleuca,30,8.5
Melaleuca linariifolia :: Flaxleaf Paperbark,54,12.24074074
Melaleuca nesophila :: Pink Melaleuca,20,5.65
Melaleuca quinquenervia :: Cajeput,310,7.8
Melaleuca spp :: Melaleuca spp,13,7.307692308
Melaleuca styphelliodes :: Paperbark Tree,26,13.46153846
Metasequoia glyplostroboides :: Dawn Redwood,6,12
Metrosideros excelsa 'Aurea' ::,1,12
Metrosideros excelsa :: New Zealand Xmas Tree,1937,11.52865256
Metrosideros spp ::,1,6
Moringa oleifera :: Drumstick tree,1,2
Morus alba :: White Mulberry,18,6.888888889
Morus rubra :: Red mulbeerry,1,7
Musa spp :: Banana,3,6.333333333
Myoporum laetum :: Myoporum,316,13.17405063
Myrica californica :: Pacific Wax Myrtle Tree,2,6
Nerium oleander :: Oleander,7,10.57142857
Nyssa sylvatica :: Tupelo: Sour Gum,2,2.5
Olea europaea 'Fruitless' :: Fruitless Olive,30,4.6
Olea europaea 'Majestic Beauty' :: Majestic Beauty Fruitless Olive,17,2.647058824
Olea europaea 'Swan Hill' :: Olive,4,9.25
Olea europaea 'Wilsonii' :: Wilson Olive Semi-fruitless,29,2.724137931
Olea europaea :: Olive Tree,789,7.553865653
Olea Majestic Beauty ::,4,2
Palm (unknown Genus) :: Palm Spp,4,29.75
Persea americana :: Avocado,16,9.75
Persea borbonia :: False Avocado,3,22.66666667
Persea indica :: Indian Bay,5,12.8
Phoenix canariensis :: Canary Island Date Palm,210,34.78571429
Phoenix dactylifera :: Date Palm,16,22.3125
Phoenix roebelenii :: Pigmy Date Palm,2,2
Phoenix rupicola :: Cliff date palm,1,70
Phoenix spp :: Date palm (species unknown),2,80
Photinia fraseri :: Photinia Tree,5,4.6
Photinia fraseri :: Photinia: Chinese photinia,84,5.702380952
Picea Spp :: Spruce Spp,9,5.333333333
Pinus canariensis :: Canary Island Pine,70,11.24285714
Pinus contorta :: Shore Pine,1,17
Pinus halepensis :: Allepo Pine,3,16
Pinus muricata :: Bishop Pine,3,11.33333333
Pinus pinea :: Italian Stone Pine,82,19.90243902
Pinus radiata :: Monterey Pine,426,24.31455399
Pinus Spp :: Pine Spp,34,8.441176471
Pinus thunbergii :: Japanese Black Pine,19,6.736842105
Pinus torreyana :: Torrey Pine,1,12
Pistacia chinensis :: Chinese Pistache,97,3.845360825
Pittosporum crassifolium :: Karo Tree,360,7.213888889
Pittosporum eugenioides :: Tarata,33,9.787878788
Pittosporum spp :: Pittosporum spp,11,8.363636364
Pittosporum tenuifolium :: Tawhiwhi Pittosporum,60,8.716666667
Pittosporum tobira :: Japanese Mockorange,14,6.642857143
Pittosporum undulatum :: Victorian Box,1669,9.80587178
Platanus orientalis :: Eastern Plane Tree,2,32.5
Platanus racemosa :: California Sycamore,13,9.769230769
Platanus x hispanica 'Bloodgood' :: Bloodgood London Plane,1,20
Platanus x hispanica 'Columbia' :: Columbia Hybrid Plane Tree,30,2.866666667
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,78,8.705128205
Platanus x hispanica :: Sycamore: London Plane,2633,13.69312571
Podocarpus gracilor :: Fern Pine,55,3.072727273
Podocarpus henkelii :: Long-Leafed Yellow-Wood,2,2
Podocarpus macrophyllus :: Yew Pine,56,5.517857143
Populus nigra 'Italica' :: Lombardy Poplar,72,13.72222222
Populus spp :: Poplar Spp,10,33
Populus tremuloides :: Quaking aspen,3,4
Potential Site :: Potential Site,11,1.909090909
Private shrub :: Private Shrub,2,20
Privet ::,1,3
Prunus amygdalus :: Almond,2,12
